Sample label [TARA_station#_environmental-feature_size-fraction],ENA-SAMPLE,Station,Date,Salinity [PSU],Oxygen [umol/kg],Nitrates [umol/L],NO2 [umol/L],PO4 [umol/L],NO2NO3 [umol/L],SI [umol/L],AMODIS:PAR8d,Einsteins/m-2/d-1,Okubo-Weiss,Lyapunov_exp.,grad_SST_adv
TARA_041_DCM_<-0.22,ERS489084,TARA_041,09/08/2011 19:06,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0,0.14,2.78
TARA_042_SRF_0.22-1.6,ERS489087,TARA_042,19/10/2011 2:53,33.2,227.7,4.8,0.08,0.46,1.3,2.84,NA,-0.16,0.03,NA,40.67
TARA_042_SRF_<-0.22,ERS489113,TARA_042,19/10/2011 21:20,34.3,8.6,44.1,0,3.29,44.24,113.32,NA,-0.16,0.03,NA,40.67
TARA_042_DCM_0.22-1.6,ERS489134,TARA_042,05/10/2011 21:53,34,138.7,29.1,0,1.22,17.49,22.34,NA,0.03,0.06,NA,1.39
TARA_042_DCM_<-0.22,ERS489148,TARA_042,04/10/2011 17:49,35.2,197.7,-1,0,0.01,0.01,2.43,NA,0.03,0.06,NA,1.39
TARA_045_SRF_0.22-1.6,ERS489236,TARA_045,18/10/2011 18:58,33.1,224.4,-0.7,0,0.29,0.02,1.91,NA,-0.16,0.03,NA,40.67
TARA_046_SRF_<-0.22,ERS489285,TARA_046,02/12/2011 17:44,34.4,95.4,11,0.31,0.88,6.05,4.66,40.6,0.05,0.03,NA,2.67
TARA_048_SRF_0.22-1.6,ERS489315,TARA_048,02/12/2011 14:10,33.9,195.1,3.2,0.07,0.46,2.44,2.54,33.6,0.05,0.03,NA,2.67
TARA_048_SRF_0.1-0.22,ERS489324,TARA_048,03/12/2011 16:31,34.6,0.6,35.7,0.01,2.95,34.55,46.62,40.5,0.05,0.03,NA,2.67
TARA_052_SRF_0.22-1.6,ERS489529,TARA_052,10/12/2011 13:58,33.4,196.9,-1.2,0,0.16,0,1.19,40.6,-0.11,0.04,NA,1.61
TARA_052_DCM_0.22-1.6,ERS489585,TARA_052,11/12/2011 14:14,34.6,77,22.1,0.83,1.11,12.9,8.07,32.3,-0.11,0.04,NA,1.61
TARA_052_DCM_<-0.22,ERS489603,TARA_052,11/12/2011 22:51,34.6,0.8,36.9,0.01,3.16,36.22,52.92,33.7,-0.11,0.04,NA,1.61
TARA_056_SRF_0.22-3,ERS489712,TARA_056,30/12/2011 12:56,34.3,195.5,-1.7,0,0.01,0,2.93,35.9,0.34,0.16,NA,0
TARA_056_MES_0.22-3,ERS489727,TARA_056,21/12/2011 16:25,28.9,205.3,-3.8,0,0.08,0,0.54,27.9,0.22,0.36,NA,0
TARA_057_SRF_0.22-3,ERS489733,TARA_057,09/01/2012 21:30,36.2,193,0.4,0.02,0.02,0.06,1.17,NA,-3.49,0.06,NA,43.44
TARA_058_DCM_0.22-3,ERS489846,TARA_058,10/01/2012 16:43,35.2,108.2,31.9,0,1.22,20.25,8.62,NA,-3.49,0.06,NA,43.44
TARA_062_SRF_0.22-3,ERS489877,TARA_062,09/01/2012 12:41,36.2,194.3,-2.2,0.02,0,0.05,1.22,NA,-3.49,0.06,NA,43.44
TARA_064_SRF_0.22-3,ERS489917,TARA_064,27/02/2012 18:43,36.6,191.8,4,0.03,0.18,4.13,1.62,16.1,0.01,0.03,NA,1.19
TARA_064_SRF_<-0.22,ERS489943,TARA_064,24/02/2012 11:41,36.6,212.6,NA,0.09,0,0.15,0.73,NA,0.01,0.03,NA,1.19
TARA_064_MES_0.22-3,ERS489987,TARA_064,15/02/2012 12:59,36.5,214.4,0.9,0.22,0.02,0.74,0.94,NA,-2.38,0.08,NA,83.42
TARA_064_DCM_0.22-3,ERS490002,TARA_064,02/02/2012 12:02,35.2,233.9,3.5,0.11,0.35,4.38,2.77,NA,-0.16,0.05,NA,17.22
TARA_064_DCM_0.1-0.22,ERS490010,TARA_064,02/02/2012 20:29,35,230.2,19.9,0.01,1.47,21.5,13.73,NA,-0.16,0.05,NA,17.22
TARA_064_DCM_<-0.22,ERS490026,TARA_064,16/02/2012 14:53,35.4,138.1,21.8,0,1.31,20.03,13.24,NA,-2.38,0.08,NA,83.42
TARA_065_SRF_0.22-3,ERS490029,TARA_065,09/03/2012 10:13,36.2,232.1,0.3,0.02,0.01,0.02,0.65,20.7,-0.08,0.02,NA,36.94
TARA_065_SRF_0.1-0.22,ERS490035,TARA_065,09/03/2012 18:49,36.2,228.5,1.6,0.01,0.01,0.05,0.63,18.5,-0.08,0.02,NA,36.94
TARA_065_SRF_<-0.22,ERS490053,TARA_065,19/03/2012 16:14,35.5,175.3,18.2,0.01,1.12,18.03,10.38,25.1,0,0.11,NA,2.83
TARA_065_MES_0.22-3,ERS490065,TARA_065,05/03/2012 11:02,36.3,228.4,-0.3,0.04,0.01,0.17,0.84,15.7,-0.18,0.04,NA,22.03
TARA_065_DCM_0.22-3,ERS490085,TARA_065,01/03/2012 11:55,36.4,220.2,-1.2,0.25,0.06,0.68,0.8,13.8,0.21,0.05,NA,0
