ENA-SAMPLE,Chlorophyll,Temperature,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII_virus,Cyanophage,Depth,Salinity [PSU],SAR116,Nitrates [umol/L],MGII,SAR11,NO2NO3 [umol/L],Prochlorococcus,Synechococcus,Region,Euryarchaeota,Crenarchaeota,Cyanobacteria
ERS489585,0.394226,24.89426,0.83,77.0,1.11,3.33226887118,60.8609961209,75.0,34.6,0.175602759711,22.1,57.3983216305,112.923093292,12.9,167.191693916,0.730100633426,IO,0.0768061369133,0.00739697584146,167.92179455
ERS489603,0.394226,24.89426,0.01,0.8,3.16,20.1029890933,193.31473833,75.0,34.6,0.00165617352308,36.9,0.583189775456,0.0110222724109,36.22,0.338923442118,0.0213047321471,IO,0.000493364231228,2.61481086715e-05,0.360228174265
ERS489712,0.04282,27.323117,0.0,195.5,0.01,0.323081409638,60.206881871,5.0,34.3,0.0898415490076,-1.7,50.7670839127,55.8434243774,0.0,164.102498539,1.25892259031,IO,0.0337932361987,0.00783184932747,165.361421129
ERS489724,0.04282,27.323117,,,,22.7600487477,161.07870024,5.0,,0.0273197410329,,0.535414952391,0.199263063512,,0.363465757092,0.0312536107383,IO,0.00963637198398,0.000726995491827,0.39471936783
ERS489727,0.0,6.2402,0.0,205.3,0.08,0.0771271282557,14.2501483218,1000.0,28.9,0.0785176773969,-3.8,8.52389187416,13.1493352019,0.0,31.0526108965,0.508671002801,IO,0.060274038658,0.714422877073,31.5612818993
ERS489729,0.0,6.2402,,,,0.478323127788,1.89845816601,1000.0,,0.127901237497,,0.0644681432635,0.156284764656,,0.0483020723216,0.103457081495,IO,0.0464481693179,0.0121980455564,0.151759153817
ERS489733,0.085544,26.965433,0.02,193.0,0.02,0.383512690561,40.6541324343,5.0,36.2,0.0937942114737,0.4,41.3893537788,60.8630945618,0.06,108.903961805,33.5522510304,IO,0.0438776578427,0.0405830143698,142.456212835
ERS489846,0.032278,26.34018,0.0,108.2,1.22,0.436214604326,64.1327786922,66.0,35.2,0.0883448061822,31.9,39.8141599451,70.097229901,20.25,126.633350058,4.04000504084,IO,0.0327219712622,0.00755177670661,130.673355099
ERS489877,0.089746,25.080167,0.02,194.3,0.0,0.616211401443,75.4857535666,5.0,36.2,0.0964271215064,-2.2,58.391612041,67.3720711406,0.05,117.440581496,7.27482694909,IO,0.0348541763918,0.0146223011971,124.715408445
ERS489904,0.089746,25.080167,,,,26.0780153193,180.979081068,5.0,,0.00846422741863,,0.549535034839,0.0449653214174,,0.415148396135,0.0283897993766,IO,0.00233455014263,0.00025202615064,0.443538195512
ERS489917,0.162993,22.165567,0.03,191.8,0.18,1.32950739578,79.3530342404,5.0,36.6,0.213527849564,4.0,139.268663541,188.102391023,4.13,509.775428548,21.6497808108,IO,0.0841744087883,0.0753751358699,531.425209359
ERS489943,0.162993,22.165567,0.09,212.6,0.0,26.805229481,97.8696980021,5.0,36.6,0.0540897334609,,0.46185181182,0.0670661659684,0.15,0.374887749159,0.0696588876764,IO,0.018873484146,0.00118291577383,0.444546636835
ERS489987,0.0,7.6502,0.22,214.4,0.02,0.0478652262726,0.63213061252,1000.0,36.5,0.135689451517,0.9,10.5521545358,16.3073508404,0.74,1.90273566401,0.656490579691,IO,0.12427722678,1.67490404162,2.5592262437
ERS489996,0.0,7.6502,,,,0.89350993162,0.721355053833,1000.0,,0.0838697782438,,0.0918869137922,0.104362029991,,0.0398229040667,0.273092747125,IO,0.0341467807358,0.0536799504264,0.312915651192
ERS490002,0.214573,22.250309,0.11,233.9,0.35,1.62236528735,75.8893048354,65.0,35.2,0.359899662188,3.5,219.086263548,102.382501854,4.38,179.273097919,49.9110838365,IO,0.191492989514,0.182770903398,229.184181755
ERS490010,0.214573,22.250309,0.01,230.2,1.47,16.4788005871,151.563388028,65.0,35.0,0.00274628367729,19.9,6.0018269184,0.48412028904,21.5,3.59594854089,0.0745939500047,IO,0.00848832263301,0.00247230453855,3.67054249089
ERS490021,0.214573,22.250309,,,,,,65.0,,,,,,,,,IO,,,
ERS490026,0.214573,22.250309,0.0,138.1,1.31,24.0167534267,127.34278169,65.0,35.4,0.0038675976901,21.8,0.307520683464,0.0136947105292,20.03,0.246174150203,0.0181520970833,IO,0.00165496138659,0.000218937957367,0.264326247286
ERS490029,0.215292,21.81684,0.02,232.1,0.01,1.59301435423,38.9685831851,5.0,36.2,0.153049801554,0.3,72.6042300976,160.966083667,0.02,38.0718817492,16.9163299078,IO,0.0717150003133,0.165998032195,54.988211657
ERS490035,0.215292,21.81684,0.01,228.5,0.01,20.6129693326,154.449843267,5.0,36.2,0.00260109511836,1.6,4.51304229378,3.05950049421,0.05,0.747142945044,0.262262754121,IO,0.00324702891285,0.0027892395984,1.00940569916
ERS490045,0.215292,21.81684,,,,,,5.0,,,,,,,,,IO,,,
ERS490053,0.215292,21.81684,0.01,175.3,1.12,92.0869236681,179.164697464,5.0,35.5,0.0679882125166,18.2,0.344125694141,0.260452310802,18.03,0.291585163142,0.13577501273,IO,0.0210888071568,0.00134879240257,0.427360175872
ERS490065,0.0,8.4127,0.04,228.4,0.01,0.17188134723,1.47617765182,850.0,36.3,0.134253087574,-0.3,12.2777377471,16.589187754,0.17,0.789939688932,0.655208119528,IO,0.128145370618,1.66771850362,1.44514780846
ERS490085,0.272648,21.81495,0.25,220.2,0.06,1.84810614667,26.3115514689,30.0,36.4,0.301717643421,-1.2,116.476726821,204.067022087,0.68,32.9295080605,59.8155611098,IO,0.172335208552,0.350345311868,92.7450691703
ERS490089,0.272648,21.81495,0.01,155.2,1.36,22.2740742387,146.83995061,30.0,35.4,0.0050559083847,21.3,6.91153969742,3.7192907794,21.11,1.18479251975,0.948987523471,IO,0.00749930285646,0.00406554210406,2.13378004322
ERS490120,0.272648,21.81495,0.04,230.1,0.0,79.8108360049,155.045304527,30.0,36.2,0.0595166041904,1.2,0.341748712768,0.181657562291,0.17,0.292289047308,0.143019992212,IO,0.0218785660843,0.00112344148458,0.43530903952
ERS490124,0.250054,15.033492,0.03,237.9,0.01,2.48870655161,9.22256033553,5.0,37.9,0.246431842059,,23.037261903,315.424701244,0.02,21.9045145542,2.21125745319,SAO,0.0881645240718,1.75001440604,24.1157720074
ERS490142,0.250054,15.033492,0.03,237.9,0.01,37.3751128863,16.2594619012,5.0,37.9,0.0591285763431,,0.156874561162,0.0948373508886,0.02,0.092901664888,0.0758723131189,SAO,0.0228074708369,0.00181339126305,0.168773978007
ERS490163,0.424363,15.01895,0.31,243.1,0.16,1.59926387899,5.51383080969,30.0,36.0,0.167813256862,3.0,14.8257359644,202.424639061,2.16,19.1177575727,2.29004407917,SAO,0.0535054196087,1.3082303052,21.4078016519
ERS490180,0.424363,15.01895,0.32,239.4,0.17,29.9716094956,27.1010499373,30.0,36.0,0.0537340636505,3.8,0.353692720316,0.13620029897,2.26,0.119488802419,0.0606265196054,SAO,0.0213718781055,0.00074629716569,0.180115322024
ERS490183,1.551493,12.83445,0.02,207.8,0.03,1.14095522376,3.77611777234,5.0,37.9,0.548349880617,,3.08048872521,110.901267165,0.12,0.292202417252,7.44337384361,SAO,0.0328451083611,0.902186747304,7.73557626086
ERS490192,1.551493,12.83445,0.02,207.8,0.03,0.153806107256,1.39241255407,5.0,37.9,0.171728612262,,1.54144437898,204.809494105,0.12,0.0914172640804,0.481116172447,SAO,0.0291002984854,0.826976862957,0.572533436528
ERS490193,1.551493,12.83445,0.07,220.9,0.02,0.476720885781,2.35914448621,5.0,37.8,0.26978253329,,0.559005507487,34.567843811,0.21,0.142078363161,3.33084256252,SAO,0.0377051052142,0.497088749009,3.47292092568
ERS490201,1.551493,12.83445,,,,,,5.0,,,,,,,,,SAO,,,
ERS490204,1.551493,12.83445,0.01,224.3,0.01,18.681801019,14.0020155076,5.0,38.4,0.0398453317178,,0.501628237524,0.110716422311,0.05,0.0651861234702,0.138390351072,SAO,0.0114224541583,0.0026384027055,0.203576474542
ERS490230,0.011208,7.026748,0.0,218.0,0.01,0.0719969498219,0.123712130435,700.0,38.2,0.137223450337,,25.6342264777,23.9195297693,0.03,0.391659270004,0.205308932683,SAO,0.129955948079,3.14187738447,0.596968202687
ERS490238,0.011208,7.026748,0.0,218.0,0.01,0.0577687725817,0.0967274265881,700.0,38.2,0.0691777133955,,18.7530330028,7.37899397322,0.03,1.39270036067,0.0874617135001,SAO,0.0625964086103,0.677443654934,1.48016207417
