RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_phage,SAR11_Phage,Synechococcus
ERR599027,48.5,,1.01772,30/03/2010 8:46,40.0,ERS490928,-0.16,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.43,0.07,0.49,17.111823,-0.2,0.03,306.211529,148.3,0.34,,SAO,1.38,34.057594,36.5,TARA_082_DCM_0.22-3,TARA_082,,TARA_082,6.975635,21.64,0.00368246141114,0.22641530178,0.0463607229147,0.0,3.91727790871,0.0221655440786,0.164255484253,130.45483889,0.135307838558,0.0141499497055,0.786761756614,0.120275309748
ERR599028,45.2,,0.353707,31/07/2011 17:24,17.0,ERS488747,0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.14,4.9,0.367767,3.9,0.04,211.606583,189.8,0.53,,IO,2.22,36.549267,35.4,TARA_036_DCM_0.22-1.6,TARA_036,,TARA_036,25.37395,0.0,0.0043485664398,49.4427178472,0.0340439412376,0.0,13.7115869395,2.290191669,3.05299638291,130.526502865,0.134834259626,0.200433138496,1.75640366591,23.6032316898
ERR599029,,,0.126428,04/11/2010 10:24,5.0,ERS493914,-0.04,surface water layer (ENVO:00002042),1.91,0.0,0.02,-1.723962,-0.4,0.08,195.523833,221.5,0.0,,NAO,0.48,34.347208,36.3,TARA_141_SRF_0.22-3,TARA_141,,TARA_141,27.119358,14.53,0.0664629222777,10.9097563104,0.0374829914068,0.0,4.40067987612,1.46413584907,22.5569898566,71.786007471,0.147809018909,0.191802293,1.70901730355,58.0451571151
ERR599030,,,0.013449,04/11/2010 10:24,5.0,ERS493752,-0.04,surface water layer (ENVO:00002042),1.91,0.0,0.02,-1.184318,-0.4,0.08,196.88275,221.5,0.0,,NPO,0.48,33.407042,36.3,TARA_138_SRF_0.22-3,TARA_138,,TARA_138,26.6362,14.53,0.00378233201262,41.7341864871,0.0376830196176,0.0001145724947,29.5887731102,0.176259104871,162.832150571,36.3031908619,0.106187852307,0.0150860728476,0.265954775747,0.240128805706
ERR599031,,,0.005649,05/08/2011 0:27,600.0,ERS488769,0.02,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),,0.16,6.18,31.802451,5.1,0.04,1.63999,190.7,0.63,,IO,2.52,35.693546,35.4,TARA_037_MES_0.22-1.6,TARA_037,,TARA_037,12.066048,0.0,0.173264470623,0.0782138413114,0.0516179789442,0.0,0.946960867832,0.0171462399303,0.0910622479114,3.86553976697,0.0669265703306,0.00124211310965,0.0126982331607,0.0908907589122
ERR599032,,,0.451256,16/10/2010 17:43,40.0,ERS493098,0.01,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.7,0.02,0.0,4.36571,0.6,0.02,176.984778,203.8,0.04,,SPO,0.71,35.135422,36.7,TARA_128_DCM_0.22-3,TARA_128,,TARA_128,26.080233,3.53,0.0450519398403,18.0642023169,0.0509931052163,0.0,60.71989786,0.991809159204,12.654074096,49.08689136,0.0997308056028,0.012454309131,0.333266558491,0.39620544794
ERR599033,37.7,,0.0,07/09/2010 6:35,600.0,ERS492680,0.04,mesopelagic zone (ENVO:00000213),,0.17,7.09,42.53205,0.4,0.14,38.115125,249.4,1.02,,SPO,13.88,34.580675,34.8,TARA_122_MES_0.22-3,TARA_122,,TARA_122,7.212238,1.11,0.728965265544,1.45410121605,0.0797786613552,0.0,9.2696650045,0.0678312311721,3.8227276603,13.6028566701,0.0795185743744,0.000732204947665,0.103892493987,0.132141551122
ERR599034,15.7,,0.0,05/03/2012 11:02,850.0,ERS490065,-0.18,mesopelagic zone (ENVO:00000213),,0.04,0.17,,-0.3,0.04,197.9725,228.4,0.01,,IO,0.84,34.65115,36.3,TARA_065_MES_0.22-3,TARA_065,,TARA_065,8.4127,22.03,0.820691424765,0.732992837415,0.0667185051912,0.0,6.28276167351,0.0813422068242,0.390767465791,8.07774488457,0.0693380690061,0.0,0.106787476294,0.345382548878
ERR599035,47.6,,0.310844,30/03/2010 2:56,5.0,ERS490885,-0.16,surface water layer (ENVO:00002042),0.43,0.0,0.09,17.091069,-1.3,0.03,305.012167,187.4,0.14,,SAO,1.47,34.048642,36.0,TARA_082_SRF_0.22-3,TARA_082,,TARA_082,7.321517,21.64,0.00729553282391,0.34648310317,0.0498106895648,0.0,1.63424740219,0.0319148502929,0.211337147159,100.885543695,0.134063921817,0.0190659511782,0.829887579834,0.155521769975
ERR599036,,,0.286662,,5.0,ERS492814,,surface water layer (ENVO:00002042),,,,5.111856,,,190.724,,,,SPO,,35.396729,,,TARA_124,,,26.518986,,0.0151350739958,9.3072462352,0.050560696702,0.0,38.037516375,0.613437656203,8.17452529796,61.6994698172,0.11258258409,0.0071382731393,0.778589485768,22.2265219692
ERR599037,,,0.006724,08/08/2011 17:38,270.0,ERS488936,-0.01,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),0.14,0.19,3.73,19.566542,5.0,0.0,2.303017,187.3,0.56,,IO,1.8,35.901885,35.4,TARA_039_MES_0.22-1.6,TARA_039,,TARA_039,15.614195,2.78,0.0342083612489,0.0832963930344,0.0576538981801,0.0,0.260532671553,0.00685490339191,0.163967124234,6.36972921814,0.0795797921627,0.0,0.146532333518,0.0717718879136
