RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR599166,0.008351,590,ERS494208,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.854511,230.24915,34.969202,TARA_145,5.067239
ERR598968,0.12799,5,ERS494236,surface water layer (ENVO:00002042),0.859819,214.365,36.4626,TARA_146,19.1288
ERR599047,0.006052,640,ERS494274,mesopelagic zone (ENVO:00000213),21.830872,138.0832,35.402185,TARA_146,11.012346
ERR599123,0.166512,5,ERS494332,surface water layer (ENVO:00002042),99999,212.5623,36.5996,TARA_148,20.3973
ERR598958,0.004651,250,ERS494374,mesopelagic zone (ENVO:00000213),4.042901,191.752575,36.563668,TARA_148b,18.169021
ERR598963,0.214174,5,ERS494394,surface water layer (ENVO:00002042),-1.176123,220.189917,36.4072,TARA_149,18.732683
ERR598964,0.009303,740,ERS494431,mesopelagic zone (ENVO:00000213),21.26922,155.156833,35.375245,TARA_149,10.565417
ERR599170,0.196921,5,ERS494445,surface water layer (ENVO:00002042),-0.328716,228.375583,36.3123,TARA_150,17.583075
ERR598996,0.339591,40,ERS494488,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.210278,230.132971,36.240197,TARA_150,17.663574
ERR598976,0.040347,5,ERS494518,surface water layer (ENVO:00002042),0.334082,232.053333,36.23775,TARA_151,17.260108
ERR598986,0.247378,80,ERS494559,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.56535,228.54515,36.162887,TARA_151,16.751066
ERR599078,0.238225,5,ERS494579,surface water layer (ENVO:00002042),2.999226,243.148,35.986042,TARA_152,14.28065
ERR598944,0.001345,800,ERS494616,mesopelagic zone (ENVO:00000213),18.205769,175.306683,35.539507,TARA_152,10.21177
ERR599001,99999,25,ERS494628,water layer with no specific feature,99999,99999,99999,TARA_152,99999
