RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR599141,0.006724,5,ERS489087,surface water layer (ENVO:00002042),-1.47882,189.25475,34.56155,TARA_042,29.980283
ERR594398,0.006724,5,ERS489113,surface water layer (ENVO:00002042),-1.47882,189.25475,34.56155,TARA_042,29.980283
ERR594403,0.006724,5,ERS489113,surface water layer (ENVO:00002042),-1.47882,189.25475,34.56155,TARA_042,29.980283
ERR599130,0.388348,80,ERS489134,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.569531,132.77885,35.103505,TARA_042,27.723425
ERR599013,0.388348,80,ERS489134,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.569531,132.77885,35.103505,TARA_042,27.723425
ERR868383,0.388348,80,ERS489142,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.569531,132.77885,35.103505,TARA_042,27.723425
ERR594413,0.388348,80,ERS489148,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.569531,132.77885,35.103505,TARA_042,27.723425
ERR599054,0.026898,5,ERS489236,surface water layer (ENVO:00002042),2.575786,185.243833,35.091133,TARA_045,30.496383
ERR599045,0.026898,5,ERS489236,surface water layer (ENVO:00002042),2.575786,185.243833,35.091133,TARA_045,30.496383
ERR594376,0.121909,5,ERS489285,surface water layer (ENVO:00002042),0.477267,185.733167,35.111283,TARA_046,30.12565
ERR599138,0,5,ERS489315,surface water layer (ENVO:00002042),-2.201764,187.2575,34.1689,TARA_048,29.818233
ERR599019,0,5,ERS489315,surface water layer (ENVO:00002042),-2.201764,187.2575,34.1689,TARA_048,29.818233
ERR594314,0,5,ERS489324,surface water layer (ENVO:00002042),-2.201764,187.2575,34.1689,TARA_048,29.818233
ERR868370,0.266374,80,ERS489506,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.244232,202.818333,34.945892,TARA_051,24.866483
ERR599098,0.176565,5,ERS489529,surface water layer (ENVO:00002042),99999,191.68,34.566667,TARA_052,27.8684
ERR599139,0.176565,5,ERS489529,surface water layer (ENVO:00002042),99999,191.68,34.566667,TARA_052,27.8684
ERR599002,0.394226,75,ERS489585,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.244232,192.55925,34.910755,TARA_052,24.89426
ERR599016,0.394226,75,ERS489585,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.244232,192.55925,34.910755,TARA_052,24.89426
ERR594394,0.394226,75,ERS489603,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.244232,192.55925,34.910755,TARA_052,24.89426
ERR599057,0.04282,5,ERS489712,surface water layer (ENVO:00002042),99999,193.05775,35.003133,TARA_056,27.323117
ERR599376,0.04282,5,ERS489724,surface water layer (ENVO:00002042),99999,193.05775,35.003133,TARA_056,27.323117
ERR599112,0,1000,ERS489727,mesopelagic zone (ENVO:00000213),99999,87.902,34.8332,TARA_056,6.2402
