"ENA-SAMPLE","Temp","Region","Depth","Salinity","Nitrates","NO2NO3","Chl","NO2","Oxygen","PO4","MGII"
"ERS488849","14.987618","IO","340","35.8","4.5","1.21","0.014107","0.35","175.9","0.49","1.22705836132"
"ERS488853","14.987618","IO","340","35.4","5.1","6.18","0.014107","0.16","190.7","0.63","0.281053385174"
"ERS488879","26.81765","IO","5","36.3","3.7","3.15","0.099089","0.06","160.5","0.56","0.938613565664"
"ERS488892","26.81765","IO","5","36.3","3.7","3.15","0.099089","0.06","160.5","0.56","0.125021447372"
"ERS488916","26.812225","IO","25","35.4","5","3.73","0.17638","0.19","187.3","0.56","22.5370147462"
"ERS488929","26.812225","IO","25","35.4","5","3.73","0.17638","0.19","187.3","0.56","0.268504747387"
"ERS488936","15.614195","IO","270","35.4","5","3.73","0.006724","0.19","187.3","0.56","0.467604297612"
"ERS488945","15.614195","IO","270","35.4","5","3.73","0.006724","0.19","187.3","0.56","0.176832263055"
"ERS489043","29.089367","IO","5","35.1","2.5","5.08","0.020173","0.27","179.9","0.54","30.9364181416"
"ERS489047","29.089367","IO","5","35.1","4.4","5.26","0.020173","0.28","177","0.55","0.868073661866"
"ERS489053","29.089367","IO","5","","","","0.020173","","","",""
"ERS489059","29.089367","IO","5","34.4","0.7","0.05","0.020173","0.02","225.5","0.13","0.554338776815"
"ERS489074","27.117663","IO","60","36.3","3.7","3.15","0.47554","0.06","160.5","0.56","60.9917669629"
"ERS489084","27.117663","IO","60","36.3","3.7","3.15","0.47554","0.06","160.5","0.56","0.404975169869"
"ERS489087","29.980283","IO","5","33.2","4.8","1.3","0.006724","0.08","227.7","0.46","65.1074846399"
"ERS489113","29.980283","IO","5","34.3","44.1","44.24","0.006724","0","8.6","3.29","0.780578605344"
"ERS489134","27.723425","IO","80","34","29.1","17.49","0.388348","0","138.7","1.22","32.9950486433"
"ERS489142","27.723425","IO","80","","","","0.388348","","","",""
"ERS489148","27.723425","IO","80","35.2","-1","0.01","0.388348","0","197.7","0.01","1.1072193833"
"ERS489236","30.496383","IO","5","33.1","-0.7","0.02","0.026898","0","224.4","0.29","22.6924351217"
"ERS489285","30.12565","IO","5","34.4","11","6.05","0.121909","0.31","95.4","0.88","0.245350572216"
"ERS489315","29.818233","IO","5","33.9","3.2","2.44","0","0.07","195.1","0.46","58.3349891304"
"ERS489324","29.818233","IO","5","34.6","35.7","34.55","0","0.01","0.6","2.95","3.81038569954"
"ERS489506","24.866483","IO","80","","","","0.266374","","","",""
"ERS489529","27.8684","IO","5","33.4","-1.2","0","0.176565","0","196.9","0.16","59.9755167527"
"ERS489585","24.89426","IO","75","34.6","22.1","12.9","0.394226","0.83","77","1.11","57.3983216305"
"ERS489603","24.89426","IO","75","34.6","36.9","36.22","0.394226","0.01","0.8","3.16","0.583189775456"
"ERS489712","27.323117","IO","5","34.3","-1.7","0","0.04282","0","195.5","0.01","50.7670839127"
"ERS489724","27.323117","IO","5","","","","0.04282","","","","0.535414952391"
"ERS489727","6.2402","IO","1000","28.9","-3.8","0","0","0","205.3","0.08","8.52389187416"
"ERS489729","6.2402","IO","1000","","","","0","","","","0.0644681432635"
"ERS489733","26.965433","IO","5","36.2","0.4","0.06","0.085544","0.02","193","0.02","41.3893537788"
"ERS489846","26.34018","IO","66","35.2","31.9","20.25","0.032278","0","108.2","1.22","39.8141599451"
"ERS489877","25.080167","IO","5","36.2","-2.2","0.05","0.089746","0.02","194.3","0","58.391612041"
"ERS489904","25.080167","IO","5","","","","0.089746","","","","0.549535034839"
"ERS489917","22.165567","IO","5","36.6","4","4.13","0.162993","0.03","191.8","0.18","139.268663541"
"ERS489943","22.165567","IO","5","36.6","","0.15","0.162993","0.09","212.6","0","0.46185181182"
"ERS489987","7.6502","IO","1000","36.5","0.9","0.74","0","0.22","214.4","0.02","10.5521545358"
"ERS489996","7.6502","IO","1000","","","","0","","","","0.0918869137922"
"ERS490002","22.250309","IO","65","35.2","3.5","4.38","0.214573","0.11","233.9","0.35","219.086263548"
"ERS490010","22.250309","IO","65","35","19.9","21.5","0.214573","0.01","230.2","1.47","6.0018269184"
"ERS490021","22.250309","IO","65","","","","0.214573","","","",""
"ERS490026","22.250309","IO","65","35.4","21.8","20.03","0.214573","0","138.1","1.31","0.307520683464"
"ERS490029","21.81684","IO","5","36.2","0.3","0.02","0.215292","0.02","232.1","0.01","72.6042300976"
