ENA-SAMPLE,Chlorophyll,Temperature,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII_virus,Cyanophage,Depth,Salinity [PSU],SAR116,Nitrates [umol/L],MGII,SAR11,NO2NO3 [umol/L],Prochlorococcus,Synechococcus,Region,Euryarchaeota,Crenarchaeota,Cyanobacteria
ERS490336,0.324315,19.776808,0.0,182.8,0.05,1.23735417166,16.719214973,5.0,38.9,1.33011251809,0.0,48.3229543742,105.445215583,0.0,10.0442187953,0.954593012002,SAO,0.0063510641202,0.053326709242,10.9988118073
ERS490337,0.324315,19.776808,0.27,175.4,0.09,1.8930051682,34.3705407775,5.0,38.9,1.14823295231,0.1,64.5156096955,47.5758957235,0.64,85.5398011888,3.17258923655,SAO,0.00362730499854,0.0278071984737,88.7123904254
ERS490346,0.324315,19.776808,0.27,175.4,0.09,108.754467936,106.2882327,5.0,38.9,0.187051422931,0.1,0.406643383227,0.389423117987,0.64,0.791266568729,0.20679092752,SAO,0.000355285338548,0.000180203837209,0.99805749625
ERS490373,0.003811,4.216697,0.01,188.8,0.02,0.0267395390716,0.53883915564,800.0,40.0,0.972154959692,-0.1,25.9468738519,12.2147317682,0.03,4.87167548278,2.16909301098,SAO,0.0281654418935,1.31865967543,7.04076849376
ERS490380,0.003811,4.216697,0.01,180.0,0.03,0.129373864924,2.96671349236,800.0,40.2,1.14409250357,1.2,24.7301806552,21.3277009642,0.01,2.33578104632,1.80977726512,SAO,0.0227410035831,3.5432162925,4.14555831143
ERS490382,0.003811,4.216697,0.01,180.0,0.03,0.0466412843254,0.878135561937,800.0,40.2,0.486573507882,1.2,13.473704327,5.35650564383,0.01,2.78321403309,1.52466149294,SAO,0.0167494366549,0.396709597147,4.30787552603
ERS490388,0.003811,4.216697,0.01,188.4,0.02,0.531499391798,1.28996602674,800.0,39.7,2.26889216579,-0.5,0.19913075241,0.320710362938,0.0,0.158748072547,0.225131679184,SAO,0.000749437825548,0.00601073934764,0.38387975173
ERS490433,0.050608,25.02619,0.51,211.6,0.51,4.72933910936,328.695781384,5.0,36.5,1.31558437612,0.4,111.687327675,57.2400595943,2.08,219.084065001,2.35070650656,SAO,0.0118205715939,0.00151913676015,221.434771507
ERS490452,0.050608,25.02619,0.05,210.9,0.37,21.2993279331,193.307798022,5.0,36.5,0.224834464152,,1.1017526575,0.602230093793,0.13,0.76077395371,0.0590796818104,SAO,0.000237903841186,3.0400133157e-05,0.81985363552
ERS490476,0.263939,24.112672,0.02,184.1,0.19,0.0910890616266,500.068955579,100.0,38.6,2.34983923556,-0.9,25.9334863191,88.3808140225,0.03,83.4366064523,0.99213387124,SAO,0.0166212306648,0.0799517616126,84.4287403235
ERS490494,0.263939,24.112672,0.02,184.1,0.19,3.96001554336,837.629899749,100.0,38.6,0.0107079134284,-0.9,2.23314782888,0.0174920151892,0.03,0.464394956592,0.0171667029688,SAO,1.65343409466e-05,2.49038725251e-05,0.481561659561
ERS490507,0.0,4.673875,0.02,184.1,0.19,1.23317092814,175.509701021,800.0,38.6,1.62431938471,-0.9,67.4793181118,39.9407258174,0.03,157.173252908,1.09626762272,SAO,0.0200149094816,0.695199329411,158.269520531
ERS490522,0.0,4.673875,0.51,211.6,0.51,3.45806511987,65.3431585462,800.0,36.5,0.270840138465,0.4,0.154978730281,0.395870249624,2.08,0.390607591735,0.244927761135,SAO,0.000640479405863,0.000263818756021,0.63553535287
ERS490542,0.033622,23.349542,0.69,2.4,2.64,0.304429464033,62.3013103413,5.0,36.0,1.2291892646,22.4,29.9883202753,36.7488246912,23.43,151.065373454,5.42700144245,SAO,0.0133485403571,0.00124393454882,156.492374897
ERS490547,0.033622,23.349542,0.69,2.4,2.64,0.279759328653,43.1891181618,5.0,36.0,1.02711231535,22.4,19.1654791248,76.3863119845,23.43,97.8137026602,1.58914056192,SAO,0.0029501073019,0.00327239435797,99.4028432221
ERS490548,0.033622,23.349542,0.01,199.9,0.32,0.177841141127,59.4232921437,5.0,36.6,1.53378381437,0.9,24.3584454671,29.6350091116,0.06,262.097130038,3.92799937526,SAO,0.00282384208824,0.0017281037814,266.025129414
ERS490557,0.033622,23.349542,0.01,199.9,0.32,6.82836382974,82.6089981498,5.0,36.6,0.438885538811,0.9,0.989683370518,0.567942627922,0.06,0.87363414102,0.296332888361,SAO,0.00367255567929,0.0,1.16996702938
ERS490597,0.150865,21.643283,0.05,210.9,0.37,0.708250915511,95.6274300167,150.0,36.5,0.948496438044,,57.8836926257,18.3798960082,0.13,62.6055946547,2.19431169936,SAO,0.0451755548342,0.0879399122582,64.799906354
ERS490602,0.150865,21.643283,0.05,210.9,0.37,0.292466186058,34.3693943601,150.0,36.5,0.492813841445,,26.8053785894,67.8424380267,0.13,29.3884540554,1.05146944202,SAO,0.00965787566812,1.07427170144,30.4399234974
ERS490603,0.150865,21.643283,0.07,1.6,2.91,0.165190239785,16.4251770782,150.0,35.7,0.404504471314,31.8,47.6138271295,17.8078105373,30.52,105.919463247,0.41406120856,SAO,0.0324941833309,0.160078682706,106.333524456
ERS490610,0.150865,21.643283,0.07,1.6,2.91,10.3576945678,97.500952844,150.0,35.7,0.414368717028,31.8,1.03870643701,0.566982735592,30.52,0.805921110895,0.353568643204,SAO,0.00244542992318,1.84309032787e-05,1.1594897541
ERS490633,0.0,4.749588,0.7,154.7,0.42,0.018445332886,0.946737791404,800.0,,0.796141925038,1.2,25.9706898671,11.6375340979,1.86,2.97876322316,1.25837738734,SAO,0.176545860462,1.86822631411,4.23714061049
ERS490643,0.0,4.749588,0.7,154.7,0.42,0.00294688953207,0.317732308507,800.0,,1.55599713287,1.2,9.02608123708,4.22781828833,1.86,0.580044941368,0.160907031744,SAO,0.00646371666681,0.370699932229,0.740951973112
ERS490659,0.053173,19.854083,0.01,193.4,0.23,0.623056533394,98.2152955311,5.0,36.3,1.75253135903,-1.4,12.3544730424,100.764798916,0.03,279.387717788,17.0035384602,SAO,0.00863513524771,0.00649839607314,296.391256248
ERS490664,0.053173,19.854083,0.01,193.4,0.23,0.9955752248,56.3190883729,5.0,36.3,0.459057161684,-1.4,10.2107523092,116.682725485,0.03,71.0829229472,0.807769604911,SAO,0.00108847506701,0.00848173264461,71.8906925521
ERS490665,0.053173,19.854083,,,,0.116789403644,41.5095771878,5.0,36.6,1.41328428735,,15.8699729342,24.558239813,,318.809656878,16.6978108202,SAO,0.00196320596506,0.00231538968665,335.507467698
ERS490676,0.053173,19.854083,,,,17.6766843649,122.571843158,5.0,36.6,0.254089967165,,0.996368362069,0.586026410617,,0.936112711847,0.258454566453,SAO,0.000444243195768,0.00012402901124,1.1945672783
ERS490691,0.226052,19.30925,0.01,199.9,0.32,0.795978836311,46.9888255484,120.0,36.6,1.11807181448,0.9,44.2812811734,95.2964335862,0.06,142.156597779,4.90404498218,SAO,0.0402985605195,0.91143447935,147.060642761
ERS490696,0.226052,19.30925,0.02,193.0,0.26,0.608597348628,21.5260019674,120.0,36.3,0.379477599961,-0.6,31.0331455448,90.1211060374,0.09,16.5368588528,0.441880615085,SAO,0.0162139873894,0.935468873889,16.9787394679
ERS490697,0.226052,19.30925,0.02,193.0,0.26,0.533906863609,24.6988977578,120.0,36.3,0.566977849106,-0.6,30.8452206631,34.5879207399,0.09,184.360281056,3.99704259717,SAO,0.0042105814221,0.237989378326,188.357323653
ERS490714,0.0,5.8659,2.07,2.3,2.64,0.114855724557,4.91428102023,800.0,35.9,0.85684991659,19.6,19.3394616701,28.8039089796,21.22,26.3336815406,2.3111846966,SAO,0.0152178191692,2.36187427163,28.6448662371
ERS490722,0.0,5.8659,2.07,2.3,2.64,0.0109649949982,0.491092372118,800.0,35.9,0.509163678256,19.6,9.98804267879,5.71477598715,21.22,6.23732651773,1.00018146652,SAO,0.00869279458541,0.244230941413,7.23750798425
ERS490885,0.310844,7.321517,0.0,187.4,0.14,0.0163325295656,0.960865632103,5.0,36.0,1.33109738479,-1.3,3.9843383423,268.945429719,0.09,4.48800033223,3.26366203816,SAO,0.0115481132127,0.00960038788701,7.75166237039
ERS490900,0.310844,7.321517,,,,0.304095605438,0.785013806011,5.0,,0.179862890723,,0.0434081284874,0.0672735590159,,0.203031178786,0.213994116497,SAO,6.99954268777e-05,2.63568327036e-05,0.417025295283
ERS490928,1.01772,6.975635,0.07,148.3,0.34,0.0159775260878,0.864067574343,40.0,36.5,1.06635934275,-0.2,10.1584107289,359.711954634,0.49,4.68088126844,1.15111528831,SAO,0.00726828078378,0.00341122960825,5.83199655675
ERS490953,1.01772,6.975635,0.07,148.3,0.34,0.551963107481,1.20482517672,40.0,36.5,0.217945715106,-0.2,0.0230129951048,0.0763338954171,0.49,0.0428918772402,0.0235922525909,SAO,0.000115633671875,0.0,0.0664841298311
ERS491001,0.109555,1.84402,0.0,187.4,0.14,0.00273115248559,0.795318614739,5.0,36.0,1.32578880537,-1.3,0.805386312773,245.583725996,0.09,3.8659224688,2.09035459504,SO,0.00889814382774,0.00294040681645,5.95627706384
