Station,Region,Fraction,Cyanophage,Prochlorococcus,Synechococcus,Cyanobacteria
TARA_062,IO,BACT,210.769168947,125.393292982,8.45694304856,133.85023603
TARA_062,IO,VIRUS,367.625117406,0.667236085529,0.0186096462925,0.685845731821
TARA_064,IO,BACT,335.336504611,732.475086351,103.957296966,836.432383317
TARA_064,IO,VIRUS,676.600797745,5.79205935645,1.13910694726,6.9311663037
TARA_065,IO,BACT,165.258504148,87.5716187794,97.1442667982,184.715885578
TARA_065,IO,VIRUS,1143.31893464,4.22039168557,1.9969480546,6.21733974018
TARA_066,SAO,BACT,34.0340635967,49.2866299481,10.9350480084,60.2216779565
TARA_066,SAO,VIRUS,91.909456925,0.816401229697,0.598173759957,1.41457498965
TARA_067,SAO,BACT,20.6341688905,3.71856637589,16.1618470521,19.880413428
TARA_067,SAO,VIRUS,23.4853885586,0.269047432728,0.340285491103,0.609332923831
TARA_068,SAO,BACT,264.674592265,1155.51209574,103.572189364,1259.0842851
TARA_068,SAO,VIRUS,130.047734244,1.06172460923,0.360206049807,1.42193065904
TARA_070,SAO,BACT,71.0464647828,199.557979712,12.2534163981,211.81139611
TARA_070,SAO,VIRUS,107.578198727,0.950014641276,0.431922606704,1.38193724798
TARA_072,SAO,BACT,1004.27443798,459.693924361,4.43910800052,464.133032361
TARA_072,SAO,VIRUS,1096.28085632,1.61577650204,0.321174145914,1.93695064795
TARA_076,SAO,BACT,312.600192202,712.448526275,16.0232681487,728.471794424
TARA_076,SAO,VIRUS,180.109950994,1.67955525192,0.649901531566,2.32945678348
TARA_078,SAO,BACT,294.663059758,1044.90504336,47.1634532428,1092.0684966
TARA_078,SAO,VIRUS,122.571843158,0.936112711847,0.258454566453,1.1945672783
TARA_082,SAO,BACT,1.82493320645,9.16888160067,4.41477732647,13.5836589271
TARA_082,SAO,VIRUS,1.98983898273,0.245923056026,0.237586369088,0.483509425114
TARA_084,SO,BACT,0.795318614739,3.8659224688,2.09035459504,5.95627706384
TARA_085,SO,BACT,1.87499943821,9.39989913446,3.87294167232,13.2728408068
TARA_085,SO,VIRUS,4.33746454778,0.409663843628,0.434845318458,0.844509162086
TARA_093,SPO,BACT,15.5359348336,15.0346039929,27.7592368937,42.7938408866
TARA_094,SPO,BACT,16.8225807601,62.6585054526,2.91476100631,65.5732664589
TARA_096,SPO,BACT,0.409557360958,70.8930216629,2.04135356356,72.9343752265
TARA_098,SPO,BACT,219.689333909,460.879920272,3.58949955856,464.46941983
TARA_099,SPO,BACT,12.2373132955,166.61320609,0.870421185133,167.483627275
TARA_100,SPO,BACT,367.20891819,220.699038207,5.8898302715,226.588868478
TARA_100,SPO,VIRUS,383.909426178,0.96671874608,0.350237575038,1.31695632112
TARA_102,SPO,BACT,453.077746008,163.216525841,13.5879640306,176.804489871
TARA_102,SPO,VIRUS,43.8026932536,0.441091872582,0.130152804939,0.571244677521
TARA_109,SPO,BACT,314.153813545,100.441630528,13.521290249,113.962920777
TARA_109,SPO,VIRUS,992.211479235,2.53311901911,0.461668402321,2.99478742143
TARA_110,SPO,BACT,259.528189815,59.1812031944,3.90582749962,63.087030694
TARA_111,SPO,BACT,154.033676061,101.298366245,3.34724509704,104.645611342
TARA_111,SPO,VIRUS,699.026660006,0.77384726434,0.544294325517,1.31814158986
TARA_112,SPO,BACT,169.213613171,280.280657641,1.5858968259,281.866554466
TARA_122,SPO,BACT,378.040171848,248.53352024,12.4904024195,261.023922659
TARA_122,SPO,VIRUS,904.663133363,4.3987642032,2.2564566745,6.65522087769
TARA_123,SPO,BACT,135.839458874,45.4695835826,54.087167694,99.5567512766
TARA_123,SPO,VIRUS,372.998210396,0.494659297719,0.151378813675,0.646038111393
TARA_124,SPO,BACT,210.127364337,84.769444865,201.286804083,286.056248948
TARA_124,SPO,VIRUS,643.757073872,1.71391044836,15.8886778734,17.6025883218
TARA_125,SPO,BACT,141.330388581,45.9524369924,42.0463860555,87.9988230479
TARA_125,SPO,VIRUS,345.998604434,0.496773356593,0.404133345666,0.90090670226
TARA_128,SPO,BACT,56.4320644518,28.2860000033,1.94265193592,30.2286519392
TARA_132,NPO,BACT,457.06977076,242.734721068,1.43114593283,244.165867
TARA_133,NPO,BACT,180.148947579,98.3412817037,7.88782242072,106.229104124
TARA_137,NPO,BACT,59.8922846076,42.407003254,8.10231562831,50.5093188823
TARA_137,NPO,VIRUS,477.790336863,0.288723430557,0.0238140264305,0.312537456988
TARA_138,NPO,BACT,433.708540664,214.489953872,2.19494885577,216.684902728
TARA_138,NPO,VIRUS,325.750882207,0.471729325629,0.136087643672,0.607816969301
TARA_140,NPO,BACT,164.984845262,68.5502782639,28.1664349153,96.7167131792
TARA_141,NAO,BACT,31.8846005355,26.2829422174,70.5799984272,96.8629406446
TARA_142,NAO,BACT,65.1856210557,159.766425937,33.0150138065,192.781439743
