RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Group_D,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_Phage,SAR11_Phage,Synechococcus
ERR594290,45.2,,0.005649,01/08/2011 20:13,600.0,ERS488773,0.02,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),,1.47,5.43,31.802451,5.0,0.04,1.63999,161.3,0.66,,IO,1.19,35.693546,35.9,TARA_037_MES_0.1-0.22,TARA_037,,TARA_037,12.066048,0.0,0.521469894591,13.4376482378,0.0169235310728,0.0214101912681,0.0,0.676331384258,0.27261398055,0.238561704736,3.9006519973,0.250242495442,0.0901530525566,0.935035691762,0.444209950396
ERR594291,15.2,,0.272648,01/03/2012 20:06,30.0,ERS490089,0.21,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.01,21.11,,21.3,0.05,206.43725,155.2,1.36,,IO,11.38,,35.4,TARA_065_DCM_0.1-0.22,TARA_065,,TARA_065,21.81495,0.0,0.00354831308628,261.614318513,0.00318598803079,0.154903272978,0.0,12.514422839,12.0581388173,1.47072502775,3.68400830031,0.0261361810926,0.620182640452,12.6092267853,1.09525905478
ERR594292,34.1,,0.166512,14/09/2010 9:14,5.0,ERS492646,-0.25,surface water layer (ENVO:00002042),0.22,0.29,1.08,3.986359,,0.04,186.2407,231.7,0.23,,SPO,2.44,35.3662,35.7,TARA_122_SRF_0.1-0.22,TARA_122,,TARA_122,26.54413,31.83,4.40380676079e-05,195.087345156,0.0024266128518,0.0555706219674,0.0,2.9422949847,3.2058239665,0.712659779568,1.56029651892,0.1485220856,0.612936097256,47.3803291291,0.107393252195
ERR594293,34.1,,0.051638,14/09/2010 9:14,150.0,ERS492781,-0.25,marine epipelagic mixed layer (ENVO:xxxxxxxxx),0.22,0.25,1.3,5.023264,,0.04,161.3185,231.9,0.23,,SPO,2.6,35.88072,35.7,TARA_123_MIX_0.1-0.22,TARA_123,,TARA_123,22.1151,31.83,0.0292214620128,300.397946835,0.00229254424664,0.0315185473832,0.0,2.56137054351,2.03832910352,0.396615610635,1.95292839426,0.284681711607,0.060283882775,14.511320252,0.133321345774
ERR594294,7.7,,0.42458,18/11/2009 8:23,50.0,ERS490303,-0.39,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.01,0.04,,,0.0,231.683361,220.0,0.01,,SAO,1.38,35.687803,38.2,TARA_068_DCM_0.22-0.45,TARA_068,,TARA_068,16.787411,1.89,1.01072375165,19.6611484089,0.0114896206272,0.000317564291528,0.0,27.9966819979,0.239197861673,10.5841028807,82.7553158217,0.961342735066,0.0147963444999,1.09820944617,2.56669148915
ERR594295,,,0.020173,04/09/2011 23:14,5.0,ERS489047,0.01,surface water layer (ENVO:00002042),0.26,0.28,5.26,-1.343153,4.4,0.0,187.42925,177.0,0.55,,IO,2.74,36.024883,35.1,TARA_041_SRF_0.1-0.22,TARA_041,,TARA_041,29.089367,0.0,0.000301397581245,203.125062564,0.00158311092153,0.11230117835,0.0,4.36010162991,6.33872029511,3.12249298616,0.833175747037,0.394150827815,0.834205866835,10.447444078,0.442505755268
ERR594296,40.4,,0.286662,05/10/2010 12:42,5.0,ERS492820,0.04,surface water layer (ENVO:00002042),1.02,0.01,0.04,5.111856,0.2,0.02,190.724,194.4,0.14,,SPO,1.32,35.396729,36.6,TARA_124_SRF_0.45-0.8,TARA_124,,TARA_124,26.518986,0.0,0.00655354489965,9.03538253268,0.00444409293722,0.00524254414374,0.0,38.6579169828,0.0973248606655,23.145702967,10.6013873419,0.900763475594,0.00230308922554,0.421606697257,61.0809886627
ERR594297,13.2,,0.201517,15/12/2009 10:40,5.0,ERS490273,-0.86,surface water layer (ENVO:00002042),,0.0,0.05,,-0.7,0.03,231.914833,207.6,0.0,,SAO,0.82,35.68685,39.4,TARA_068_SRF_0.45-0.8,TARA_068,,TARA_068,16.832058,40.81,0.192406208637,30.0956911911,0.00675816899083,0.000711675462691,0.0,26.973285128,0.227603433949,203.041709202,31.4273081482,0.410403040808,0.0133990458934,0.772293010686,18.7331295274
ERR594298,40.3,,0.150865,13/03/2010 10:55,150.0,ERS490603,,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.07,30.52,0.580918,31.8,,203.814833,1.6,2.91,,SAO,54.48,36.724683,35.7,TARA_076_DCM_0.45-0.8,TARA_076,,TARA_076,21.643283,,0.160078682706,16.4251770782,0.0324941833309,0.000880291748479,0.0,47.6138271295,0.165190239785,105.919463247,17.8078105373,0.404504471314,0.00725097771829,0.553638523107,0.41406120856
ERR594299,23.4,,0.003811,11/01/2010 19:14,800.0,ERS490380,,mesopelagic zone (ENVO:00000213),,0.01,0.01,37.7793,1.2,0.0,161.730633,180.0,0.03,,SAO,0.85,34.443883,40.2,TARA_070_MES_0.22-0.45,TARA_070,,TARA_070,4.216697,0.0,1.78504383268,1.74244531225,0.0160377032483,0.000679394284237,0.0,12.369571452,0.0688247033358,0.499499340483,11.9256140074,0.597233548627,0.00361773380302,0.159599648994,0.196767954545
ERR594300,37.5,,0.020173,05/10/2010 8:10,140.0,ERS492932,0.04,marine epipelagic mixed layer (ENVO:xxxxxxxxx),1.02,0.0,0.02,3.67243,0.3,0.02,160.4895,199.1,0.1,,SPO,0.87,36.272675,36.4,TARA_125_MIX_0.45-0.8,TARA_125,,TARA_125,23.706525,0.0,0.00371072629126,20.5932378958,0.0095703421594,0.114801171487,0.0,106.76871483,0.379672463185,20.5347561016,17.8105114482,0.856131067642,0.00735926184542,0.848418291559,12.3137734427
ERR594301,37.7,,0.295808,07/09/2010 6:35,115.0,ERS492705,0.04,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.17,7.09,2.333576,0.4,0.14,179.916875,249.4,1.02,,SPO,13.88,36.097575,34.8,TARA_122_DCM_0.45-0.8,TARA_122,,TARA_122,24.69625,1.11,0.0041986525671,75.2239415693,0.00829173726439,0.000208691178724,0.0,9.94475275411,0.0234896263491,127.280478664,7.67618219503,0.422157463551,0.00187526476044,0.320084794846,1.59922580254
ERR594302,13.6,,0.011208,23/11/2009 9:14,700.0,ERS490238,0.18,mesopelagic zone (ENVO:00000213),,0.0,0.03,25.846888,,0.02,195.168847,218.0,0.01,,SAO,1.05,34.477664,38.2,TARA_068_MES_0.45-0.8,TARA_068,,TARA_068,7.026748,1.25,0.688854359864,0.328554289398,0.0180792989009,0.000299845808952,0.0,29.5225454453,0.0177412407503,1.85142283136,8.9871171065,0.380461429998,0.00199582617912,0.141139495586,0.208976749424
ERR594303,45.9,,0.226052,18/03/2010 9:52,120.0,ERS490697,0.33,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.63,0.02,0.09,0.478929,-0.6,0.03,217.140667,193.0,0.26,,SAO,1.28,36.27495,36.3,TARA_078_DCM_0.45-0.8,TARA_078,,TARA_078,19.30925,2.14,0.237989378326,24.6988977578,0.0042105814221,0.000581496695834,0.0,30.8452206631,0.533906863609,184.360281056,34.5879207399,0.566977849106,0.0227587973836,0.513080691114,3.99704259717
ERR594304,37.7,,0.295808,07/09/2010 6:35,115.0,ERS492704,0.04,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.17,7.09,2.333576,0.4,0.14,179.916875,249.4,1.02,,SPO,13.88,36.097575,34.8,TARA_122_DCM_0.22-0.45,TARA_122,,TARA_122,24.69625,1.11,0.0117404539434,103.787360112,0.00690046375483,0.0,0.0,14.5872826674,0.0282206244727,5.62352251611,53.0204230897,0.646405685627,0.0035725433167,1.15729772744,0.618494718045
ERR594305,34.1,,0.0,14/09/2010 9:14,600.0,ERS492684,-0.25,mesopelagic zone (ENVO:00000213),0.22,0.29,1.08,42.53205,,0.04,38.115125,231.7,0.23,,SPO,2.44,34.580675,35.7,TARA_122_MES_0.22-0.45,TARA_122,,TARA_122,7.212238,31.83,2.27152464394,3.31111055342,0.0360490143935,0.00424575092484,0.0,30.2895719984,0.0352437110203,1.43805377856,23.1191213817,0.538770917692,0.00609366194333,0.432579685962,1.18839626643
ERR594306,31.3,,0.166512,13/09/2010 14:13,5.0,ERS492648,-0.25,surface water layer (ENVO:00002042),0.22,0.0,22.08,3.986359,25.8,0.04,186.2407,195.2,1.53,,SPO,12.08,35.3662,34.5,TARA_122_SRF_0.45-0.8,TARA_122,,TARA_122,26.54413,31.83,0.0016053404235,24.1099151602,0.00617797334837,0.00592211924596,0.0,43.8630701832,0.086370765806,34.5753324604,15.5335630952,0.380357575799,0.00709535917906,1.13677883078,1.12718741928
ERR594307,31.3,,0.166512,13/09/2010 14:13,5.0,ERS492647,-0.25,surface water layer (ENVO:00002042),0.22,0.0,22.08,3.986359,25.8,0.04,186.2407,195.2,1.53,,SPO,12.08,35.3662,34.5,TARA_122_SRF_0.22-0.45,TARA_122,,TARA_122,26.54413,31.83,0.00431169692711,27.9785044948,0.0123357797161,0.014981903417,0.0,103.288827698,0.155971767583,4.52937428417,69.0412636807,0.597698282061,0.0231174123827,2.67623285293,1.31324249812
ERR594308,23.4,,0.003811,11/01/2010 19:14,800.0,ERS490380,,mesopelagic zone (ENVO:00000213),,0.01,0.01,37.7793,1.2,0.0,161.730633,180.0,0.03,,SAO,0.85,34.443883,40.2,TARA_070_MES_0.22-0.45,TARA_070,,TARA_070,4.216697,0.0,1.75817245982,1.22426818011,0.00670330033476,0.0,0.0,12.3606092032,0.0605491615882,1.83628170583,9.40208695686,0.546858954942,0.00266106555999,0.134550189944,1.61300931057
ERR594309,37.7,,0.0,07/09/2010 6:35,600.0,ERS492683,0.04,mesopelagic zone (ENVO:00000213),,0.17,7.09,42.53205,0.4,0.14,38.115125,249.4,1.02,,SPO,13.88,34.580675,34.8,TARA_122_MES_0.1-0.22,TARA_122,,TARA_122,7.212238,1.11,0.0952028469323,54.3242456038,0.00185602888221,0.0066758692392,0.0,0.575362557763,0.603689776414,0.630020248793,0.550717768451,0.225912015045,0.0780799676927,7.19078849697,0.621263139283
ERR594310,47.7,,0.033622,16/03/2010 10:05,5.0,ERS490547,0.01,surface water layer (ENVO:00002042),0.16,0.69,23.43,0.030608,22.4,0.07,206.194333,2.4,2.64,,SAO,38.94,37.101367,36.0,TARA_076_SRF_0.22-0.45,TARA_076,,TARA_076,23.349542,1.08,0.00327239435797,43.1891181618,0.0029501073019,0.00325230711632,0.0,19.1654791248,0.279759328653,97.8137026602,76.3863119845,1.02711231535,0.0578927374769,1.72785316493,1.58914056192
ERR594311,48.2,,0.286662,21/09/2010 7:05,5.0,ERS492819,0.0,surface water layer (ENVO:00002042),1.33,0.05,0.99,5.111856,0.2,0.04,190.724,215.7,0.36,,SPO,1.36,35.396729,36.4,TARA_124_SRF_0.22-0.45,TARA_124,,TARA_124,26.518986,10.81,0.0155372806287,12.1943733308,0.00707512339779,0.00895612950221,0.0,82.5665240502,0.160319863523,2.85757353773,83.0795152047,1.24293311174,0.00773365171987,1.1286049084,1.33232172091
ERR594312,,,0.014107,05/08/2011 0:27,340.0,ERS488853,0.02,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),,0.16,6.18,22.444602,5.1,0.04,2.369225,190.7,0.63,,IO,2.52,36.021302,35.4,TARA_038_MES_0.1-0.22,TARA_038,,TARA_038,14.987618,0.0,0.0205581656199,11.727616867,0.0121526501037,0.0140309480474,0.0,0.291088820108,0.333344569903,1.07972923334,1.33961169094,0.512729709863,0.0684367593898,2.17793506878,1.36307898218
ERR594313,22.0,,1.551493,02/11/2009 8:18,5.0,ERS490192,0.14,surface water layer (ENVO:00002042),,0.02,0.12,0.405607,,0.0,249.351417,207.8,0.03,,SAO,0.56,34.845292,37.9,TARA_067_SRF_0.22-0.45,TARA_067,,TARA_067,12.83445,7.67,0.784501653683,3.88764158991,0.00278061597007,0.00311976882019,0.0,0.979250586484,0.0469025861125,1.66186934219,206.487725523,0.516321510117,0.178585254304,4.87457378481,0.888242109648
ERR594314,40.5,,0.0,03/12/2011 16:31,5.0,ERS489324,0.05,surface water layer (ENVO:00002042),,0.01,34.55,-2.201764,35.7,0.03,187.2575,0.6,2.95,,IO,46.62,34.1689,34.6,TARA_048_SRF_0.1-0.22,TARA_048,,TARA_048,29.818233,2.67,8.10321481214e-05,278.221265459,0.00268346382357,0.10011169498,0.0,6.22081117545,4.09770099506,9.79039904822,0.579781589502,0.120331723276,1.15874984034,13.0541490804,0.208752143652
ERR594315,44.4,,0.434367,22/04/2011 14:16,55.0,ERS488147,0.0,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.8,0.01,39.2,,40.0,0.04,,4.4,2.85,,MS,40.6,37.8232,34.7,TARA_009_DCM_0.22-1.6,TARA_009,,TARA_009,16.151933,3.75,1.41657620833,85.0706349881,0.00730007961852,0.00974106814652,0.0,23.1296409676,0.225647120633,40.7708732798,94.0144656542,0.779404687681,0.798726245478,1.65863310553,2.23095211474
ERR594316,42.1,,-0.0247,21/04/2011 20:16,5.0,ERS488119,0.0,surface water layer (ENVO:00002042),1.8,0.32,12.6,,11.7,0.04,,206.0,1.0,,MS,5.0,37.9751,34.7,TARA_009_SRF_0.22-1.6,TARA_009,,TARA_009,23.8526,3.75,0.00138450260726,13.7725746611,0.00924313614835,0.0,0.0,1.60742067877,0.0268530218129,30.707119244,47.4034647422,1.44546870877,0.171361653593,0.992545169875,18.8158143796
ERR594317,42.1,,-0.0247,21/04/2011 20:16,5.0,ERS488119,0.0,surface water layer (ENVO:00002042),1.8,0.32,12.6,,11.7,0.04,,206.0,1.0,,MS,5.0,37.9751,34.7,TARA_009_SRF_0.22-1.6,TARA_009,,TARA_009,23.8526,3.75,0.00103252089188,14.7617834089,0.00676420727204,0.00099454585237,0.0,2.62412188338,0.029921855685,33.3647709978,50.0092002909,1.43070443265,0.188666330471,0.963054819145,18.1317172501
