ENA-SAMPLE,Temperature,Region,Depth,Salinity [PSU],Nitrates [umol/L],NO2NO3 [umol/L],Chlorophyll,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII
ERS488879,26.81765,IO,5.0,36.3,3.7,3.15,0.099089,0.06,160.5,0.56,1.34415367511
ERS488892,26.81765,IO,5.0,36.3,3.7,3.15,0.099089,0.06,160.5,0.56,0.326929997207
ERS488916,26.812225,IO,25.0,35.4,5.0,3.73,0.17638,0.19,187.3,0.56,39.4124523967
ERS488929,26.812225,IO,25.0,35.4,5.0,3.73,0.17638,0.19,187.3,0.56,0.426990242682
ERS488936,15.614195,IO,270.0,35.4,5.0,3.73,0.006724,0.19,187.3,0.56,0.81010124268
ERS488945,15.614195,IO,270.0,35.4,5.0,3.73,0.006724,0.19,187.3,0.56,0.237974750735
ERS489043,29.089367,IO,5.0,35.1,2.5,5.08,0.020173,0.27,179.9,0.54,58.2619616779
ERS489047,29.089367,IO,5.0,35.1,4.4,5.26,0.020173,0.28,177.0,0.55,4.36010162991
ERS489059,29.089367,IO,5.0,34.4,0.7,0.05,0.020173,0.02,225.5,0.13,0.313800367748
ERS489074,27.117663,IO,60.0,36.3,3.7,3.15,0.47554,0.06,160.5,0.56,107.126154889
ERS489084,27.117663,IO,60.0,36.3,3.7,3.15,0.47554,0.06,160.5,0.56,1.02013269891
ERS489087,29.980283,IO,5.0,33.2,4.8,1.3,0.006724,0.08,227.7,0.46,125.366503855
ERS489113,29.980283,IO,5.0,34.3,44.1,44.24,0.006724,0.0,8.6,3.29,1.40454747453
ERS489134,27.723425,IO,80.0,34.0,29.1,17.49,0.388348,0.0,138.7,1.22,61.3485902313
ERS489148,27.723425,IO,80.0,35.2,-1.0,0.01,0.388348,0.0,197.7,0.01,0.606526847527
ERS489236,30.496383,IO,5.0,33.1,-0.7,0.02,0.026898,0.0,224.4,0.29,42.2880538634
ERS489285,30.12565,IO,5.0,34.4,11.0,6.05,0.121909,0.31,95.4,0.88,0.752889093583
ERS489315,29.818233,IO,5.0,33.9,3.2,2.44,0.0,0.07,195.1,0.46,112.928551827
ERS489324,29.818233,IO,5.0,34.6,35.7,34.55,0.0,0.01,0.6,2.95,6.22081117545
ERS489529,27.8684,IO,5.0,33.4,-1.2,0.0,0.176565,0.0,196.9,0.16,100.010375031
ERS489585,24.89426,IO,75.0,34.6,22.1,12.9,0.394226,0.83,77.0,1.11,100.004956929
ERS489603,24.89426,IO,75.0,34.6,36.9,36.22,0.394226,0.01,0.8,3.16,2.82546284912
ERS489712,27.323117,IO,5.0,34.3,-1.7,0.0,0.04282,0.0,195.5,0.01,91.5702426617
ERS489724,27.323117,IO,5.0,,,,0.04282,,,,3.20313821613
ERS489727,6.2402,IO,1000.0,28.9,-3.8,0.0,0.0,0.0,205.3,0.08,25.4972696205
ERS489729,6.2402,IO,1000.0,,,,0.0,,,,0.139541306644
ERS489733,26.965433,IO,5.0,36.2,0.4,0.06,0.085544,0.02,193.0,0.02,76.4298250585
ERS489846,26.34018,IO,66.0,35.2,31.9,20.25,0.032278,0.0,108.2,1.22,72.6373955101
ERS489877,25.080167,IO,5.0,36.2,-2.2,0.05,0.089746,0.02,194.3,0.0,101.583691779
ERS489904,25.080167,IO,5.0,,,,0.089746,,,,3.30402319094
ERS489917,22.165567,IO,5.0,36.6,4.0,4.13,0.162993,0.03,191.8,0.18,250.462847674
ERS489943,22.165567,IO,5.0,36.6,,0.15,0.162993,0.09,212.6,0.0,0.475117608327
ERS489987,7.6502,IO,1000.0,36.5,0.9,0.74,0.0,0.22,214.4,0.02,38.6073111416
ERS489996,7.6502,IO,1000.0,,,,0.0,,,,0.179965769531
ERS490002,22.250309,IO,65.0,35.2,3.5,4.38,0.214573,0.11,233.9,0.35,389.309875096
ERS490010,22.250309,IO,65.0,35.0,19.9,21.5,0.214573,0.01,230.2,1.47,10.0672187562
ERS490026,22.250309,IO,65.0,35.4,21.8,20.03,0.214573,0.0,138.1,1.31,0.39814005346
ERS490029,21.81684,IO,5.0,36.2,0.3,0.02,0.215292,0.02,232.1,0.01,137.474774882
ERS490035,21.81684,IO,5.0,36.2,1.6,0.05,0.215292,0.01,228.5,0.01,8.55013625155
ERS490053,21.81684,IO,5.0,35.5,18.2,18.03,0.215292,0.01,175.3,1.12,0.693962007762
ERS490065,8.4127,IO,850.0,36.3,-0.3,0.17,0.0,0.04,228.4,0.01,41.7781095951
ERS490085,21.81495,IO,30.0,36.4,-1.2,0.68,0.272648,0.25,220.2,0.06,208.440868679
